date,Kobo
1993/01,130.628
1994/01,2.70096
1995/01,6.30129
1996/01,145.082
1997/01,131.76
1998/01,163.011
1999/01,80.1149
2000/01,2.42727
2001/01,40.1517
2002/01,117.45
2003/01,51.4494
2004/01,146.583
2005/01,148.249
2006/01,7.2748
2007/01,76.2307
2008/01,48.2079
2009/01,45.4129
2010/01,21.4687
2011/01,98.6212
2012/01,10.3455
2013/01,70.8016
2014/01,33.1062
2015/01,23.1936
2016/01,119.227
2017/01,0.651993
2018/01,31.2631
2019/01,2.01456
2020/01,43.6482
